package,loc_min,loc_max,loc_avg,loc_sum
abb_driver,8.0,31.0,18.5,74.0
industrial_robot_client,7.0,241.0,61.1428571429,1284.0
simple_message,12.0,346.0,76.406779661,4508.0
abb_irb2400_moveit_plugins,181.0,2347.0,1047.66666667,3143.0
