package,cc_min,cc_max,cc_avg
roboteq_driver,1.0,9.0,4.0
grizzly_base,3.0,3.0,3.0
grizzly_msgs,1.0,5.0,2.25
grizzly_teleop,1.0,15.0,6.0
grizzly_motion,1.0,18.0,4.13793103448
