package,loc_min,loc_max,loc_avg,loc_sum
roboteq_driver,23.0,170.0,62.6,313.0
grizzly_base,109.0,109.0,109.0,109.0
grizzly_msgs,55.0,55.0,55.0,55.0
grizzly_teleop,92.0,92.0,92.0,92.0
grizzly_motion,21.0,204.0,67.7692307692,881.0
