package,com_min,com_max,com_avg,com_sum
roboteq_driver,4.0,29.0,18.6,93.0
grizzly_base,41.0,41.0,41.0,41.0
grizzly_msgs,24.0,24.0,24.0,24.0
grizzly_teleop,28.0,28.0,28.0,28.0
grizzly_motion,1.0,64.0,31.6153846154,411.0
